Catégorie principale;Catégorie;Sous Catégories;Type;Produit;Site La Fourche;Quantité La Fourche;Site Biocoop Champollion;Quantité Biocoop Champollion;Site Biocoop Fontaine;Quantité Biocoop Fontaine;Site Satoriz;Quantité Satoriz;Site GreenWeez;Quantité GreenWeez;Code Elefan;Quantité Elefan;Date MAJ;Proportion;Elefan moins cher mais sans stock;
Epicerie salée;Apéritifs;Fruits secs;Prix bas;Cacahuètes Salées;https://lafourche.fr/products/la-fourche-cacahuetes-grillees-salees-bio-en-vrac-0-5kg;0,5;https://www.biocoop.fr/arachide-grillee-nature-bio-ag3062-000.html;V;https://www.biocoop.fr/arachides-grillees-et-salees-egypte-bio-ag3063-000.html;V;https://satoriz-comboire.bio/collections/vrac/products/bof3707;V;https://www.greenweez.com/produit/arachides-decortiquees-grillees-nature-500g/2WEEZ0360;0,5;ARACHIDE DECORTIQUEE GRILLEE VRAC;V;;;;
Epicerie salée;Apéritifs;Chips;Prix bas;Chips maïs;https://lafourche.fr/products/pural-chips-au-mais-nature-bio-0-2kg;0,2;https://www.biocoop.fr/tortilla-chips-mais-natures-200g-ap0010-000.html;0,2;https://www.biocoop.fr/tortilla-chips-mais-natures-200g-ap0010-000.html;0,2;https://satoriz-comboire.bio/products/pu6901460;0,2;https://www.greenweez.com/produit/chips-de-mais-nature-125g/1PURA0072;0,125;TORTILLAS NATURE SANS GLUTEN;0,125;;;;
Epicerie salée;Apéritifs;Chips;Prix bas;Chips classique;https://lafourche.fr/products/trafo-chips-salees-125g;0,125;https://www.biocoop.fr/chips-pdt-natures-100g-cs5010-000.html;0,1;https://www.biocoop.fr/chips-pdt-natures-200g-ao4005-000.html;0,2;https://satoriz-comboire.bio/collections/epicerie-salee/products/ma5776;0,125;https://www.greenweez.com/produit/chips-nature-format-familial-220g/1APER0002;0,22;CHIPS NATURE;0,125;;;;
Epicerie salée;Apéritifs;Biscuits;Prix bas;Gressins nature;https://lafourche.fr/products/la-fourche-gressins-a-l-huile-d-olive-bio-0-16kg;0,16;https://www.biocoop.fr/gressins-a-l-huile-d-olive-vierge-sd2008-000.html;0,1;https://www.biocoop.fr/gressin-nature-150g-gr4007-000.html;0,15;https://satoriz-comboire.bio/collections/epicerie-salee/products/tgc01;0,15;https://www.greenweez.com/produit/gressins-au-sesame-160g/1LAZZ0072;0,16;GRESSINS AUX TROIS GRAINES;0,125;;;;
Epicerie salée;Apéritifs;Biscuits;Prix bas;Stick;https://lafourche.fr/products/moulin-des-moines-sticks-depeautre-200g-bio;0,2;https://www.biocoop.fr/sticks-epeautre-pur-200g-ml1211-000.html;0,2;https://www.biocoop.fr/sticks-epeautre-pur-200g-ml1211-000.html;0,2;;;https://www.greenweez.com/produit/sticks-depeautre-a-lhuile-dolive-200g/1MOUL0035;0,2;;;;;;
Epicerie salée;Apéritifs;Biscuits;Prix bas;Bretzel;https://lafourche.fr/products/moulin-des-moines-bretzels-depeautre-150g-bio;0,15;https://www.biocoop.fr/bretzel-epeautre-bio-ml1218-000.html;V;https://www.biocoop.fr/bretzel-epeautre-bio-ml1218-000.html;V;https://satoriz-comboire.bio/products/eu1740;0,2;https://www.greenweez.com/produit/bretzels-epeautre-sesame-et-huile-dolive-150g/1MOUL0033;0,15;BRETZELS D EPEAUTRE;0,15;;;;
Epicerie salée;Condiments;Bouillons;Prix bas;Bouillon de légumes;https://lafourche.fr/products/philia-bouillon-de-legumes-cubes-66g-bio;0,066;https://www.biocoop.fr/bouillon-legumes-cube-ss-levure-8-80g-ra1400-000.html;0,08;https://www.biocoop.fr/bouillon-de-legumes-en-cube-hl1004-000.html;0,088;https://satoriz-comboire.bio/products/ralegplu;0,5;https://www.greenweez.com/produit/bouillon-de-legumes-en-poudre-sans-levure-500g/1RAPU0182;0,5;BOUILLON DE LEGUMES;0,34;oct-24;;;
Epicerie salée;Condiments;Bouillons;80gEQ;Bouillon de légumes cube;https://lafourche.fr/products/philia-bouillon-de-legumes-cubes-66g-bio;0,066;https://www.biocoop.fr/bouillon-legumes-cube-ss-levure-8-80g-ra1400-000.html;0,08;https://www.biocoop.fr/bouillon-de-legumes-en-cube-hl1004-000.html;0,088;https://satoriz-comboire.bio/products/re39242;0,066;https://www.greenweez.com/produit/bouillon-de-legumes-en-cubes-sans-levure-80g/1RAPU0055;0,08;BOUILLON CUBE LEGUMES DEGRAISSE;;oct-24;;;
Epicerie salée;Condiments;Bouillons;Prix bas;Cube miso;https://lafourche.fr/products/danival-cube-miso-bio-8x10g-bio;0,08;https://www.biocoop.fr/miso-cube-original-8-80g-dn1090-000.html;0,08;https://www.biocoop.fr/miso-cube-original-8-80g-dn1090-000.html;0,08;https://satoriz-comboire.bio/products/da2889;0,08;https://www.greenweez.com/produit/miso-en-cubes-original-8x10g/1DANI0197;0,08;;;;;;
Epicerie salée;Condiments;Bouillons;Prix bas;Miso riz;https://lafourche.fr/products/danival-miso-riz-bio-0-39kg;0,39;https://www.biocoop.fr/miso-riz-200g-dn0733-000.html;0,2;https://www.biocoop.fr/miso-riz-200g-dn0733-000.html;0,2;https://satoriz-comboire.bio/products/re2573;0,39;https://www.greenweez.com/produit/miso-de-riz-390g/1DANI0048;0,39;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Gomasio;https://lafourche.fr/products/la-fourche-gomasio-bio-0-5kg;0,5;https://www.biocoop.fr/gomasio-300g-he0775-000.html;0,3;https://www.biocoop.fr/gomasio-300g-he0775-000.html;0,3;https://satoriz-comboire.bio/products/go300;0,3;https://www.greenweez.com/produit/gomasio-loriginal-500g/1SENF0012;0,5;GOMASIO;0,15;;;;
Epicerie salée;Condiments;Epices;Prix bas;Curcuma moulu;https://lafourche.fr/products/la-fourche-curcuma-moulu-bio-0-25kg;0,25;https://www.biocoop.fr/curcuma-racine-poudre-bio-ck2048-000.html;V;https://www.biocoop.fr/curcuma-poudre-35g-ck0906-000.html;0,035;https://satoriz-comboire.bio/products/cocurcrapc500;0,5;https://www.greenweez.com/produit/curcuma-poudre-bio-250g/2WEEZ0074;0,25;CURCUMA;0,04;oct-24;;;
Epicerie salée;Condiments;Epices;35g;Curcuma moulu;https://lafourche.fr/products/la-fourche-curcuma-moulu-bio-0-25kg;0,035;https://www.biocoop.fr/curcuma-racine-poudre-bio-ck2048-000.html;V;https://www.biocoop.fr/curcuma-poudre-35g-ck0906-000.html;0,035;https://satoriz-comboire.bio/products/cocurcrapr;0,035;https://www.greenweez.com/produit/curcuma-en-poudre-eco-recharge-35g/1COOK0174;0,035;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Curry Jaune;https://lafourche.fr/products/la-fourche-curry-jaune-moulu-bio-0-15kg;0,15;https://www.biocoop.fr/curry-bio-ck2049-000.html;V;https://www.biocoop.fr/curry-en-poudre-35g-ck0907-000.html;0,035;https://satoriz-comboire.bio/products/cocurrmapc;0,5;https://www.greenweez.com/produit/curry-en-poudre-bio-150g/2WEEZ0162;0,15;CURRY INDIEN;0,035;oct-24;0.02;;
Epicerie salée;Condiments;Epices;35g;Curry Jaune;https://lafourche.fr/products/cook-curry-madras-35g;0,035;https://www.biocoop.fr/curry-bio-ck2049-000.html;V;https://www.biocoop.fr/curry-en-poudre-35g-ck0907-000.html;0,035;https://satoriz-comboire.bio/products/cocurry;0,035;https://www.greenweez.com/produit/curry-de-madras-poudre-bio-35g/1COOK0128;0,035;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Canelle;https://lafourche.fr/products/la-fourche-cannelle-moulue-bio-0-15kg;0,15;https://www.biocoop.fr/cannelle-poudre-100g-ck2151-000.html;0,1;https://www.biocoop.fr/cannelle-moulue-35g-ck1419-000.html;0,035;https://satoriz-comboire.bio/products/cocannegpc;0,5;https://www.greenweez.com/produit/cannelle-de-ceylan-en-poudre-500g/1COOK0184;0,5;CANNELLE;0,028;oct-24;;;
Epicerie salée;Condiments;Epices;35g;Canelle;https://lafourche.fr/products/cook-cannelle-en-poudre-bio-0-035kg;0,035;https://www.biocoop.fr/cannelle-moulue-35g-ck1419-000.html;0,035;https://www.biocoop.fr/cannelle-moulue-35g-ck1419-000.html;0,035;https://satoriz-comboire.bio/products/cocannel;0,034;https://www.greenweez.com/produit/cannelle-poudre-bio-35g/1COOK0007;0,035;PAPRIKA POUDRE;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Paprika doux;https://lafourche.fr/products/la-fourche-paprika-doux-bio-0-15kg;0,15;https://www.biocoop.fr/paprika-doux-de-hongrie-40g-ck0922-000.html;0,04;https://www.biocoop.fr/paprika-doux-de-hongrie-40g-ck0922-000.html;0,04;https://satoriz-comboire.bio/products/copapdfr;0,04;https://www.greenweez.com/produit/paprika-doux-en-poudre-bio-150g/2WEEZ0165;0,15;;;oct-24;0.02;;
Epicerie salée;Condiments;Epices;40g;Paprika doux;https://lafourche.fr/products/paprika-doux;0,04;https://www.biocoop.fr/paprika-doux-de-hongrie-40g-ck0922-000.html;0,04;https://www.biocoop.fr/paprika-doux-de-hongrie-40g-ck0922-000.html;0,04;https://satoriz-comboire.bio/products/copapdfr;0,04;https://www.greenweez.com/produit/paprika-doux-de-hongrie-poudre-bio-40g/1COOK0035;0,04;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Paprika fumé;https://lafourche.fr/products/la-fourche-paprika-fume-bio-0-15kg;0,15;https://www.biocoop.fr/paprika-fume-fl1217-000.html;0,06;https://www.biocoop.fr/paprika-fume-fl1217-000.html;0,06;https://satoriz-comboire.bio/products/emhbe58b?_pos=2&_sid=3ef3d1d3c&_ss=r;;https://www.greenweez.com/produit/paprika-fume-sachet-recharge-250g/1ECOI0084;0,25;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Paprika fumé;https://lafourche.fr/products/la-fourche-paprika-fume-bio-0-15kg;0,15;https://www.biocoop.fr/paprika-fume-fl1217-000.html;0,06;https://www.biocoop.fr/paprika-fume-fl1217-000.html;0,06;https://satoriz-comboire.bio/products/emhbe58b?_pos=2&_sid=3ef3d1d3c&_ss=r;;https://www.greenweez.com/produit/paprika-fume-sachet-recharge-250g/1ECOI0084;0,25;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Gingembre moulu;https://lafourche.fr/products/la-fourche-gingembre-moulu-bio-0-2kg;0,2;https://www.biocoop.fr/gingembre-racine-poudre-bio-ck2051-000.html;V;https://www.biocoop.fr/gingembre-poudre-30g-ck0908-000.html;0,03;https://satoriz-comboire.bio/products/cogingse;0,1;https://www.greenweez.com/produit/gingembre-en-poudre-bio-200g/2WEEZ0161;0,2;GINGEMBRE POUDRE;;oct-24;0.02;;
Epicerie salée;Condiments;Epices;55gEQ;Gingembre moulu;https://lafourche.fr/products/cook-gingembre-en-poudre-bio-0-03kg;0,03;https://www.biocoop.fr/gingembre-racine-poudre-bio-ck2051-000.html;V;https://www.biocoop.fr/gingembre-poudre-30g-ck0908-000.html;0,03;https://satoriz-comboire.bio/products/coginge;0,03;https://www.greenweez.com/produit/gingembre-poudre-bio-80-g/1COOK0081;0,08;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Coriandre poudre;https://lafourche.fr/products/biodyssee-coriandre-en-poudre-bio-0-035kg;0,035;https://www.biocoop.fr/coriandre-moulue-30g-ck0925-000.html;0,03;https://www.biocoop.fr/coriandre-moulue-30g-ck0925-000.html;0,03;https://satoriz-comboire.bio/collections/epicerie-salee/products/cocorpc;0,03;https://www.greenweez.com/produit/poudre-de-graines-de-coriandre-35g/2BIOD0049;0,035;CORIANDRE;0,025;;;;
Epicerie salée;Condiments;Epices;Prix bas;Fenugrec;https://lafourche.fr/products/cook-fenugrec-poudre-55g;0,055;https://www.biocoop.fr/fenugrec-moulu-55g-ck1209-000.html;0,055;https://www.biocoop.fr/fenugrec-moulu-55g-ck1209-000.html;0,055;https://satoriz-comboire.bio/products/cofenuc;0,055;https://www.greenweez.com/produit/fenugrec-poudre-bio-50g/1COOK0022;0,05;FENUGREC;0,04;;;;
Epicerie salée;Condiments;Epices;Prix bas;Ras El-hanout;https://lafourche.fr/products/la-fourche-ras-el-hanout-bio-0-15kg;0,15;https://www.biocoop.fr/ras-el-hanout-35g-ar0215-000.html;0,035;https://www.biocoop.fr/ras-el-hanout-35g-ar0215-000.html;0,035;https://satoriz-comboire.bio/products/corasec;0,035;https://www.greenweez.com/produit/melange-ras-el-hanout-bio-35g/1COOK0072;0,035;;;oct-24;;;
Epicerie salée;Condiments;Epices;35g;Ras El-hanout;https://lafourche.fr/products/la-fourche-ras-el-hanout-bio-0-15kg;0,035;https://www.biocoop.fr/ras-el-hanout-35g-ar0215-000.html;0,035;https://www.biocoop.fr/ras-el-hanout-35g-ar0215-000.html;0,035;https://satoriz-comboire.bio/products/corasec;0,035;https://www.greenweez.com/produit/melange-ras-el-hanout-bio-35g/1COOK0072;0,035;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Herbes de provence;https://lafourche.fr/products/la-fourche-herbes-de-provence-bio-0-2kg;0,2;https://www.biocoop.fr/herbes-de-provence-50g-ar0035-000.html;0,05;https://www.biocoop.fr/herbes-de-provence-sans-marjolaine-bio-ck2106-000.html;V;https://satoriz-comboire.bio/products/apla0034;0,1;https://www.greenweez.com/produit/herbes-de-provence-60g/2BIOD0053;0,06;HERBES DE PROVENCE;0,02;oct-24;0.02;;
Epicerie salée;Condiments;Epices;50gEQ;Herbes de provence;https://lafourche.fr/products/biodyssee-herbes-de-provence-bio-0-06kg;0,06;https://www.biocoop.fr/herbes-de-provence-50g-ar0035-000.html;0,05;https://www.biocoop.fr/herbes-de-provence-sans-marjolaine-bio-ck2106-000.html;V;https://satoriz-comboire.bio/products/apla0035;0,04;https://www.greenweez.com/produit/herbes-de-provence-60g/2BIOD0053;0,06;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Cumin graines;https://lafourche.fr/products/la-fourche-cumin-graines-bio-0-15kg;0,15;https://www.biocoop.fr/cumin-graines-40g-ck0924-000.html;0,04;https://www.biocoop.fr/cumin-graines-40g-ck0924-000.html;0,04;https://satoriz-comboire.bio/products/cocum?_pos=1&_sid=d9ea7a39f&_ss=r;0,04;https://www.greenweez.com/produit/graines-de-cumin-eco-recharge-40g/1COOK0177;0,04;;;oct-24;;;
Epicerie salée;Condiments;Epices;40g;Cumin graines;https://lafourche.fr/products/cook-cumin-graines-40g;0,04;https://www.biocoop.fr/cumin-graines-40g-ck0924-000.html;0,04;https://www.biocoop.fr/cumin-graines-40g-ck0924-000.html;0,04;https://satoriz-comboire.bio/products/cocum?_pos=1&_sid=d9ea7a39f&_ss=r;0,04;https://www.greenweez.com/produit/graines-de-cumin-eco-recharge-40g/1COOK0177;0,04;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Cumin moulu;https://lafourche.fr/products/la-fourche-cumin-moulu-bio-0-15kg;0,15;https://www.biocoop.fr/cumin-poudre-100g-ck2152-000.html;0,1;https://www.biocoop.fr/cumin-graines-poudre-bio-ck2050-000.html;V;https://satoriz-comboire.bio/products/cocumipse;0,1;https://www.greenweez.com/produit/cumin-poudre-bio-80g/1COOK0138;0,1;CUMIN;0,035;;0.02;;
Epicerie salée;Condiments;Epices;Prix bas;Noix de muscade moulue;https://lafourche.fr/products/biodyssee-noix-de-muscade-moulue-bio-0-05kg;0,05;https://www.biocoop.fr/muscade-moulue-35g-ck0926-000.html;0,035;https://www.biocoop.fr/muscade-moulue-35g-ck0926-000.html;0,035;https://satoriz-comboire.bio/products/comusmou;0,035;https://www.greenweez.com/produit/noix-de-muscade-moulue-50g/2BIOD0044;0,05;NOIX DE MUSCADE;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Colombo poudre;https://lafourche.fr/products/cook-colombo-poudre-35g;0,035;https://www.biocoop.fr/melange-epices-colombo-35g-ck0947-000.html;0,035;https://www.biocoop.fr/melange-epices-colombo-35g-ck0947-000.html;0,035;https://satoriz-comboire.bio/products/coloc;0,035;https://www.greenweez.com/produit/colombo-bio-50g/1LACA0042;0,05;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Piment doux;https://lafourche.fr/products/cook-piment-doux-40g;0,04;https://www.biocoop.fr/piment-doux-d-espagne-40g-ck0940-000.html;0,04;https://www.biocoop.fr/piment-doux-d-espagne-40g-ck0940-000.html;0,04;https://satoriz-comboire.bio/products/copimdou;0,04;https://www.greenweez.com/produit/piment-doux-despagne-bio-40g/1COOK0038;0,04;PIMENT DOUX;0,032;;;;
Epicerie salée;Condiments;Epices;Prix bas;Mélange chili;https://lafourche.fr/products/cook-melange-pour-chili-35g;0,035;https://www.biocoop.fr/melange-epices-du-chili-35g-ck2014-000.html;0,035;https://www.biocoop.fr/melange-epices-du-chili-35g-ck2014-000.html;0,035;https://satoriz-comboire.bio/products/cochilc;0,035;https://www.greenweez.com/produit/melange-bio-chili-35g/1COOK0075;0,035;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Garam masala;https://lafourche.fr/products/garam-masala;0,035;https://www.biocoop.fr/garam-masala-35g-ck2059-000.html;0,035;https://www.biocoop.fr/garam-masala-35g-ck2059-000.html;0,035;https://satoriz-comboire.bio/products/map2garp;0,035;https://www.greenweez.com/produit/melange-garam-masala-bio-35g/1COOK0071;0,035;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Origan;https://lafourche.fr/products/la-fourche-origan-bio-0-15kg;0,15;https://www.biocoop.fr/feuille-coupees-d-origan-13g-ck1216-000.html;0,013;https://www.biocoop.fr/feuille-coupees-d-origan-13g-ck1216-000.html;0,013;https://satoriz-comboire.bio/collections/epicerie-salee/products/coorigfeer;0,013;https://www.greenweez.com/produit/origan-12g/2BIOD0050;0,012;;;oct-24;;;
Epicerie salée;Condiments;Epices;12gEQ;Origan;https://lafourche.fr/products/biodyssee-origan-bio-0-012kg;0,012;https://www.biocoop.fr/feuille-coupees-d-origan-13g-ck1216-000.html;0,013;https://www.biocoop.fr/feuille-coupees-d-origan-13g-ck1216-000.html;0,013;https://satoriz-comboire.bio/collections/epicerie-salee/products/coorigfeer;0,013;https://www.greenweez.com/produit/origan-12g/2BIOD0050;0,012;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Thym;https://lafourche.fr/products/herbier-thym-feuilles-50g;0,5;https://www.biocoop.fr/feuilles-de-thym-15g-ck1239-000.html;0,015;https://www.biocoop.fr/feuilles-de-thym-15g-ck1239-000.html;0,015;https://satoriz-comboire.bio/products/cothym;0,05;https://www.greenweez.com/produit/feuilles-de-thym-bio-50g/1LHER0068;0,05;THYM;0,015;oct-24;;;
Epicerie salée;Condiments;Epices;15g;Thym;https://lafourche.fr/products/thym-en-feuilles;0,015;https://www.biocoop.fr/feuilles-de-thym-15g-ck1239-000.html;0,015;https://www.biocoop.fr/feuilles-de-thym-15g-ck1239-000.html;0,015;https://satoriz-comboire.bio/products/cothymc;0,015;;;;;oct-24;;;
Epicerie salée;Condiments;Epices;Prix bas;Moutarde Jaune graines;https://lafourche.fr/products/cook-moutarde-jaune-graines-60g;0,06;https://www.biocoop.fr/moutarde-jaune-graines-60g-ck0928-000.html;0,06;https://www.biocoop.fr/moutarde-jaune-graines-60g-ck0928-000.html;0,06;https://satoriz-comboire.bio/products/comoutc;0,06;https://www.greenweez.com/produit/moutarde-jaune-graine-bio-55g/1LACA0026;0,055;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Nigelle graines;https://lafourche.fr/products/cook-nigelle-graines-50g;0,05;https://www.biocoop.fr/nigelle-graines-50g-ck2033-000.html;0,05;https://www.biocoop.fr/nigelle-graines-50g-ck2033-000.html;0,05;https://satoriz-comboire.bio/products/conig;0,05;https://www.greenweez.com/produit/nigelle-graines-bio-50g/1COOK0120;0,05;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Curry madras;https://lafourche.fr/products/cook-curry-madras-35g;0,035;https://www.biocoop.fr/curry-madras-35g-ck2053-000.html;0,035;https://www.biocoop.fr/curry-madras-35g-ck2053-000.html;0,035;https://satoriz-comboire.bio/products/cocumac;0,035;https://www.greenweez.com/produit/curry-de-madras-poudre-bio-35g/1COOK0128;0,035;CURRY DE MADRAS VRAC;V;;;;
Epicerie salée;Condiments;Epices;Prix bas;Mélange 4 épices;https://lafourche.fr/products/cook-melange-4-epices-bio-35g;0,035;https://www.biocoop.fr/melange-4-epices-35g-ck1237-000.html;0,035;https://www.biocoop.fr/melange-4-epices-35g-ck1237-000.html;0,035;https://satoriz-comboire.bio/products/co4epi;;https://www.greenweez.com/produit/quatre-epices-bio-50g/1LACA0043;0,05;QUATRE EPICES;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Piment de Cayenne;https://lafourche.fr/products/cook-piment-cayenne-poudre-40g;0,04;https://www.biocoop.fr/piment-de-cayenne-poudre-40g-ck0910-000.html;0,04;https://www.biocoop.fr/piment-de-cayenne-poudre-40g-ck0910-000.html;0,04;https://satoriz-comboire.bio/products/copimpc;0,04;https://www.greenweez.com/produit/piment-de-cayenne-poudre-bio-40g/1COOK0040;0,04;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Cardamome;https://lafourche.fr/products/cook-cardamome-moulue-35g;0,035;https://www.biocoop.fr/cardamome-moulue-35g-ck0900-000.html;0,035;https://www.biocoop.fr/cardamome-moulue-35g-ck0900-000.html;0,035;https://satoriz-comboire.bio/products/cocard;0,035;https://www.greenweez.com/produit/cardamome-poudre-bio-35g/1COOK0010;0,035;CARDAMOME;0,025;;;;
Epicerie salée;Condiments;Epices;Prix bas;Safran;https://lafourche.fr/products/cook-safran-poudre-1g;0,001;https://www.biocoop.fr/safran-stigmates-entiers-1g-ck0945-000.html;0,001;https://www.biocoop.fr/safran-stigmates-entiers-1g-ck0945-000.html;0,001;https://satoriz-comboire.bio/products/cosaf;0,001;https://www.greenweez.com/produit/safran-stigmates-bio-1g/1COOK0052;0,001;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Ail des ours;https://lafourche.fr/products/cook-ail-des-ours-coupe-16g;0,016;https://www.biocoop.fr/ail-des-ours-feuille-coupes-16g-ck2032-000.html;0,016;https://www.biocoop.fr/ail-des-ours-en-poudre-ec2115-000.html;0,05;https://satoriz-comboire.bio/products/map4ao1f;0,02;https://www.greenweez.com/produit/ail-des-ours-feuille-coupes-bio-16g/1COOK0110;0,016;;;;;;
Epicerie salée;Condiments;Epices;Prix bas;Levure malté bio;https://lafourche.fr/products/philia-levure-maltee-en-flocons-bio-0-15kg;0,15;https://www.biocoop.fr/flocons-de-levure-maltee-biologique-bio-ag2000-000.html;V;https://www.biocoop.fr/flocons-de-levure-maltee-biologique-bio-ag2000-000.html;V;https://satoriz-comboire.bio/products/re42572;V;https://www.greenweez.com/produit/flocons-de-levure-maltee-150g/1RAPU0059;0,15;LEVURE MALTEE PAILLETTE VRAC;V;;;;
Epicerie salée;Condiments;Fécules;Prix bas;Fécule pomme de terre;https://lafourche.fr/products/celiane-fecule-de-pomme-de-terre-sans-gluten-500g;0,5;https://www.biocoop.fr/fecule-de-pomme-de-terre-500g-al3026-000.html;0,5;https://www.biocoop.fr/fecule-de-pomme-de-terre-500g-al3026-000.html;0,5;https://satoriz-comboire.bio/products/ma5005;0,5;https://www.greenweez.com/produit/fecule-de-pomme-de-terre-500g-1/1MKAL0230;0,5;FECULE DE POMME DE TERRE;0,5;;;;
Epicerie salée;Condiments;Fécules;Prix bas;Fécule tapioca;https://lafourche.fr/products/celnat-tapioca-250g;0,25;;;;;https://satoriz-comboire.bio/products/eu7671;0,5;https://www.greenweez.com/produit/fecule-de-tapioca-500g/1MAVI0037;0,5;;;;;;
Epicerie salée;Condiments;Fécules;Prix bas;Maizena;https://lafourche.fr/products/fecule-de-mais;0,5;https://www.biocoop.fr/amidon-de-mais-250g-jm1111-000.html;0,25;https://www.biocoop.fr/amidon-de-mais-250g-jm1111-000.html;0,25;https://satoriz-comboire.bio/products/eu2350;0,25;https://www.greenweez.com/produit/amidon-de-mais-sans-gluten-bio-500g/2WEEZ0207;0,5;;;;;;
Epicerie salée;Condiments;Pickles;Prix bas;Cornichon;https://lafourche.fr/products/la-fourche-cornichons-aigre-doux-bio-0-36kg;0,36;https://www.biocoop.fr/cornichons-mi-fins-180g-net-egoutte-bs4006-000.html;0,18;https://www.biocoop.fr/cornichon-aigre-doux-aneth-360g-net-egoutte-ch0048-000.html;0,36;https://satoriz-comboire.bio/products/re22746;0,36;https://www.greenweez.com/produit/cornichons-aigres-doux-bio-entiers-72cl/2WEEZ0494;0,36;CORNICHONS;;;;;
Epicerie salée;Condiments;Pickles;Prix bas;Capres;https://lafourche.fr/products/philia-capres-bio-au-vinaigre-90g;0,125;https://www.biocoop.fr/capres-huile-d-olive-oi5030-000.html;0,09;https://www.biocoop.fr/capres-au-vinaigre-90g-net-egoutte-oi5002-000.html;0,09;https://satoriz-comboire.bio/products/igcaac06;0,09;https://www.greenweez.com/produit/capres-surfines-a-lestragon-22-8cl/1BRAV0002;0,125;CAPRES AU VINAIGRE;0,09;;;;
Epicerie salée;Condiments;Légumes marinés;Prix bas;Tomates séchées à l'huile;https://lafourche.fr/products/la-fourche-tomates-sechees-a-lhuile-bio-0-28kg;0,28;https://www.biocoop.fr/tomates-sechees-a-l-huile-190g-oi5058-000.html;0,19;https://www.biocoop.fr/tomates-sechees-a-l-huile-190g-oi5058-000.html;0,19;https://satoriz-comboire.bio/products/igpose06;0,19;https://www.greenweez.com/produit/tomates-sechees-a-lhuile-190g-3/1BIOO0004;0,19;TOMATES SECHEES;0,13;;;;
Epicerie salée;Condiments;Légumes marinés;Prix bas;Poivrons grillés;https://lafourche.fr/products/la-fourche-poivrons-grilles-a-lhuile-bio-0-19kg;0,19;https://www.biocoop.fr/poivrons-grilles-a-l-huile-190g-oi5057-000.html;0,19;https://www.biocoop.fr/poivrons-grilles-a-l-huile-190g-oi5057-000.html;0,19;https://satoriz-comboire.bio/products/ig23;0,19;https://www.greenweez.com/produit/poivrons-rouges-grilles-en-saumure-310g/1RAPU0184;0,31;;;;;;
Epicerie salée;Condiments;Légumes marinés;Prix bas;Artichaut grillés;https://lafourche.fr/products/la-fourche-artichauts-grilles-a-lhuile-bio-0-19kg;0,19;https://www.biocoop.fr/artichaut-grille-a-l-huile-190g-oi5055-000.html;0,19;https://www.biocoop.fr/artichaut-grille-a-l-huile-190g-oi5055-000.html;0,19;https://satoriz-comboire.bio/products/iggrca03;0,19;https://www.greenweez.com/produit/artichauts-grilles-a-lhuile-190g/1BIOO0006;0,19;;;;;;
Epicerie salée;Condiments;Olives;Prix bas;Olives vertes entières;https://lafourche.fr/products/belle-nature-olives-vertes-natures-bio-500g;0,5;https://www.biocoop.fr/olive-verte-entiere-600g-net-egoutte-ra6106-000.html;0,6;https://www.biocoop.fr/olive-verte-entiere-600g-net-egoutte-ra6106-000.html;0,6;https://satoriz-comboire.bio/products/igbc709002;0,35;https://www.greenweez.com/produit/olives-vertes-550g/1BIOO0015;0,55;OLIVES VERTES - GRECE;0,17;;;OLIVE VERTE ENTIERE 600G;
Epicerie salée;Condiments;Olives;Prix bas;Olives noires entières;https://lafourche.fr/products/belle-nature-olives-noires-nature-500g;0,5;https://www.biocoop.fr/olive-noire-nature-410g-net-egoutte-oi5062-000.html;0,41;https://www.biocoop.fr/olive-noire-nature-410g-net-egoutte-oi5062-000.html;0,41;https://satoriz-comboire.bio/products/re44555;0,5;https://www.greenweez.com/produit/olives-noires-au-naturel-500g/2EMIL0096;0,5;OLIVES NOIRES;;;;OLIVES NOIRES KALAMATA 600G;
